NOM PDV,ADRESSE PDV,LOCALISATION
Bar Awara,derrière station shel patte doie,"17°26'40.54""W  14°44'29.56""N"
Bar chez Henriette,côté grossiste Formoz Mendy,"17°27'6.32""W  14°44'17.64""N"
Alimentation yacinthe thiandoum,en face B.R.T,"17°27'17.13""W  14°44'15.15""N"
Alimentation yanga,scart urbam côté B.R.T,"17°27'19.73""W  14°44'6.74""N"
Bar Keur Mère France,apres escale meme ruelle,"17°25'21.67""W  14°46'17.51""N"
Bar Escale,apres rond point Malibu,"17°26'27.70""W  14°45'5.04""N"
amy ndao,cambére apres escale,"17°25'4.83""W  14°46'27.51""N"
Bar Mandatine,cité Alioune Sow,"17°24'36.56""W  14°46'34.26""N"
gorge alain,aréne national,"17°23'47.36""W  14°45'43.58""N"
chez VAM,aréne nationale,"17°23'46.94""W  14°45'43.85""N"
Alimentation Chez Nico,pikine côté aréne,"17°23'54.07""W  14°45'54.24""N"
Alimentation Santa Maria,las palmas,"17°24'25.10""W  14°46'7.07""N"
Alimentation chez Gabin,golf sud,"17°24'37.75""W  14°46'3.55""N"
Bar Maison Blanche,parcelle unité 19 apres camp sapeur,"17°26'12.04""W  14°45'42.20""N"
Bar Umiran,parcelle unité 17,"17°26'26.51""W  14°45'24.34""N"
Bar Montagne,parcelle unité 18,"17°26'29.34""W  14°45'22.53""N"
Bar Canette,parcelle unité 17,"17°26'29.75""W  14°45'26.76""N"
Bar Dakhargui,parcelle unité 17,"17°26'24.04""W  14°45'27.34""N"
Alimentation Gie Tam,parcelle unité13 aprés Daniel Mbaye,"17°26'22.53""W  14°45'25.31""N"
Alimentation Jean Pierre,parcelle unité 3,"17°27'1.78""W  14°44'10.63""N"
Alimentation chez Christian,coté lycée LPA,"17°25'22.67""W  14°45'39.54""N"
chez valéry,parcelle unité 6,"17°25'42.77""W  14°45'28.14""N"
alimentation casa express,parcelle unité 7,"17°25'46.68""W  14°45'32.24""N"
Bar Ithioung,parcelle unité 7,"17°25'47.15""W  14°45'32.56""N"
alimentation chez Richard,parcelle unité 7,"17°25'59.02""W  14°45'35.52""N"
sagiy mazuy,parcelle unité 17,"17°26'27.07""W  14°45'37.11""N"
chez mamy,parcelle unité 16,"17°26'29.34""W  14°45'42.11""N"
