NOM PDV,ADRESSE PDV,LOCALISATION
Bar Bleu,"Quartier Commune De Rufisque Est, Rufisque","14,7200623, -17,2633797"
Bar Bleue Augustine,Hopital Youssou Mbargane,"17°15'48.16""W  14°43'12.22""N"
Bar Bongre,Commune De Tivaouane Peulh-Niaga,"14,7880784, -17,2884962"
Bar Chez Diagne,Keur moussa,"14,7800177, -17,1180722"
"Bar Chez Dioma ""Bon Coin""",Keur Massar,"14,7744239, -17,3139726"
Bar Chez Jules,"Quartier Mbao, Commune De Mbao","14,745034, -17,3201138"
Bar Chez Pierre,Bayakh,"14,8317891, -17,1396875"
Bar Denise,"Quartier Commune De Rufisque Nord, Rufisque","17°16'0.54""W  14°43'32.79""N"
Bar Denise,Darou Rahmane,"17°16'0.54""W  14°43'32.79""N"
Bar Domingo,"Contournement Sococim, Commune De Rufisque Est","14,7268824, -17,2651581"
Bar Elene,Kounoune,"14,750078, -17,2515764"
Bar Galilee,Keur Massar,"14,7725801, -17,3274198"
Bar Joe Bass,Keur Massar,"14,7061345, -17,4638202"
Bar Kabouka Charles,Darou Rahmane,"17°16'5.25""W  14°43'46.45""N"
Bar Kassoumay,Commune De Mbao,"14,7508566, -17,3094749"
Bar L'Oasis,"Quartier Plan Jaxaay 01, Commune De Jaxaay - Parcelles","14,7686113, -17,2926188"
Bar Mimi,Keur moussa,"14,7799962, -17,1132248"
Bar Nanore,"Quartier Commune De Rufisque Nord, Rufisque","14,7277725, -17,2651358"
Bar Ndoumbélane Etienne Taco,Tivaouane Peulh,"17°17'36.38""W  14°47'23.18""N"
Bar Popenguine,Keur Massar,"17°18'55.99""W  14°46'20.82""N"
Bar Popenguine,Pont Keur Massar,"17°18'55.99""W  14°46'20.82""N"
Bar Resto Le Toulonnais,"Quartier Mbao, Commune De Mbao","14,7405, -17,31808"
Bar Romeo,Cité Tawfekh (niaga),"14,8062202, -17,2483394"
Bar Soninké,"Voie De Dégagement Nord, Commune De Malika","14,80622, -17,33464"
Bar Téranga Emile,Marché,"17°19'32.39""W  14°47'18.38""N"
Bouba,Rufisque,"17°16'15.00""W  14°42'45.08""N"
Boutique Alcool Chez Jean,Keur Massar,"17°18'47.79""W  14°46'16.52""N"
Brise De Mer,"Rue Ousmane Socé Diop, Commune De Rufisque Est","14,7125237, -17,2708334"
Charles Gomis,Darou Rahmane,"17°17'15.40""W  14°43'59.44""N"
Chez Albert,"Quartier Commune De Rufisque Ouest, Rufisque","17°17'16.12""W  14°44'4.39""N"
Chez Albert,Clinique Naby,"17°17'16.12""W  14°44'4.39""N"
Chez Alice,"Quartier Commune De Rufisque Ouest, Rufisque","14,7311207, -17,2858028"
Chez Bertin Manga,Toll Diaz,"17°18'35.79""W  14°44'52.54""N"
Chez Emilia,Commune De Mbao,"14,7509032, -17,3103545"
Chez Laurent,"Quartier Commune De Rufisque Ouest, Rufisque","14,7277025, -17,2846819"
Chez Luc,"Quartier Cité Gendarmerie, Commune De Jaxaay - Parcelles","14,7666227, -17,2771483"
Chez Manou,"Quartier Commune De Rufisque Nord, Rufisque","14,73988, -17,2643137"
Chez Michel Ange,Cité Tawfekh (niaga),"14,80668, -17,2459931"
Claude Yanga Bar Téranga,Cité Tacko,"17°16'5.25""W  14°43'46.45""N"
Colonel Krepin,Terminus 45,"17°19'51.27""W  14°48'24.87""N"
Cyprien,"Quartier Plan Jaxaay 01, Commune De Jaxaay - Parcelles","14,7614609, -17,283986"
Daniel Mbaye,Dépot Daniel,"17°19'37.27""W  14°46'45.43""N"
Dominique,Keur Massar,"17°18'36.87""W  14°46'8.79""N"
Dominique Bar Chez Do,Arafat,"17°15'54.56""W  14°43'36.77""N"
Dominique Preira,Darou Rahmane,"17°16'56.91""W  14°45'28.87""N"
Emile,A Cote Bat Popenguine,"17°19'26.84""W  14°47'3.79""N"
Epg,"Quartier Cité Gendarmerie, Commune De Jaxaay - Parcelles","14,7628044, -17,279117"
Eric Dasylva 0,Keur Massar,"14,80057, -17,3002665"
Essential,"Quartier Camille Basse, Commune De Keur Massar Sud","14,76314 , -17,307446"
Felix Diop,Diamniadio,"17°16'16.54""W  14°46'13.76""N"
François Dian,Jaxaay 2,"17°17'33.42""W  14°46'7.00""N"
Francois Mendy,Keur Massar Derriere Pont,"17°19'14.98""W  14°46'25.89""N"
Gérome,Darou Rahmane,"17°15'54.48""W  14°43'39.98""N"
Jean Michel Mbengue,A Cote Mur Stade,"17°15'59.39""W  14°48'46.87""N"
Jean Ndiaye,"Quartier Camille Basse, Commune De Keur Massar Sud","14,7712576, -17,3132766"
Jeanette,Rufisque,"17°20'35.43""W  14°46'16.64""N"
Jo Mendy,Marche,"17°20'31.27""W  14°45'59.36""N"
Jo Ndour,Keuur Massar Grand Medine Apres Mairie,"17°18'30.79""W  14°46'27.14""N"
Jules Diatta,Derriere Sar,"17°18'52.28""W  14°46'13.78""N"
Kawarafan Michel,Apres Auchan,"17°6'28.50""W  14°45'59.15""N"
Koukouloutou Albert Gomis,Jaxay,"17°20'31.27""W  14°45'59.36""N"
La Mankagne,"Quartier Camille Basse, Commune De Keur Massar Sud","14,7695853,-17,3006974"
Marie Noël,"Quartier Cité Gendarmerie, Commune De Jaxaay - Parcelles","14,7674721, -17,2815441"
Maurice Ndour,Rufisque Darou Rahmane,"17°16'27.43""W  14°42'51.70""N"
Mbaye Dieng,Premiere Porte,"16°26'4.52""W  15°22'9.12""N"
Oasis Bar,"Quartier Camille Basse, Commune De Keur Massar Sud","14,7692813, -17,3101867"
Philippe,Dibiterie,"17°19'38.71""W  14°46'21.28""N"
Popenguine Bar Antoine,Avant Pont,"17°20'4.70""W  14°48'22.39""N"
Prospere 1,"Quartier Camille Basse, Commune De Keur Massar Sud","14,7691864, -17,3102397"
Prospere 2,"Quartier Camille Basse, Commune De Keur Massar Sud","17°18'51.65""W  14°46'14.41""N"
Prospere Diatta,Keur Massar,"17°18'36.86""W  14°46'9.07""N"
Ruidolf,Tivaouane Peulh,"17°18'38.33""W  14°44'36.09""N"
Ta Canem,"Quartier Plan Jaxaay 01, Commune De Jaxaay - Parcelles","14,75802, -17,2824763"
Thiabou Dominique Mendy,Keur Massar,"17°18'36.95""W  14°46'9.02""N"
Thierry,Toll Diaz,"17°18'35.08""W  14°45'3.35""N"
